









Frequency of observations in the selected location(s).:
Number of taxa: 	424

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Blue-winged Teal	3.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015584	0.0089835	0.0157895	0.0738676	0.120282	0.1500226	0.145098	0.140817	0.0736143	0.0334448	0.0268949	0.0215771	0.0088737	0.0080257	0.0036866	0.0014903	0.0022099	0.0023557	0.002193	0.004902	0.0119403	0.014733	0.0133222	0.016811	0.012091	0.0326996	0.0294372	0.0301353	0.0251701	0.0143247	0.0170213	0.0108108	0.0036819	0.0016849	7.93E-4	0.0	0.0	0.0	7.634E-4	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0058385	0.0025974	5.531E-4	4.677E-4	0.0	0.0	0.0015705	0.0193732	0.0244156	0.03026	0.0617225	0.0898955	0.0958109	0.0998644	0.0836601	0.0621056	0.0207852	0.0063849	0.00652	0.0027462	0.0013652	0.0	0.0	0.0	0.0	0.0	0.002193	0.0014006	0.0029851	0.0	8.326E-4	0.0020377	7.112E-4	0.0045627	0.0060606	0.0129151	0.0306122	0.0231924	0.051773	0.0638821	0.0905744	0.0673968	0.0436162	0.0417933	0.0280561	0.0188679	0.0083969	0.0058939	
Blue-winged Teal x Northern Shoveler (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.963E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.03795	0.0145455	0.0138274	0.0177736	0.0393401	0.0259471	0.0172752	0.0547009	0.0742857	0.0808511	0.115311	0.133101	0.1173787	0.1156801	0.0949891	0.0554633	0.0161663	0.0042566	0.004075	0.0019616	0.0013652	8.026E-4	0.0015	0.0	0.0	0.0	0.0015	7.003E-4	0.00199	0.0	0.0024979	0.0015283	0.0049787	0.0076046	0.0051948	0.0227552	0.0435374	0.0702592	0.1156028	0.1277641	0.1502209	0.1246841	0.0935765	0.1025836	0.0711423	0.0610961	0.0381679	0.0366732	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon	0.01265	0.0031169	0.0066372	0.0126286	0.034264	0.0155682	0.0137417	0.048433	0.0779221	0.1007092	0.1167464	0.1229965	0.0995438	0.0641663	0.0522876	0.0189306	0.0086605	0.0082092	0.005705	7.846E-4	0.0013652	8.026E-4	0.0018433	0.0	0.0	0.0011779	0.0010965	0.0021008	0.0	9.208E-4	8.326E-4	0.0020377	0.0078236	0.008365	0.0155844	0.0369004	0.0435374	0.0491132	0.0737589	0.0766585	0.0648012	0.0404381	0.0309278	0.0197568	0.0240481	0.0134771	0.0122137	0.0111329	
Mallard	0.3324684	0.3168831	0.2925885	0.267072	0.3343909	0.2620654	0.254417	0.4290598	0.5038961	0.5333333	0.5837321	0.6351916	0.62837	0.6416629	0.6357298	0.6602458	0.6047921	0.5837641	0.5892421	0.5731659	0.487372	0.4085072	0.3788018	0.3561848	0.3447514	0.3710247	0.3826754	0.4068627	0.4457711	0.4189687	0.4604496	0.4742741	0.4665718	0.4608365	0.4839827	0.4760148	0.4768707	0.473397	0.4453901	0.4614251	0.4955817	0.452401	0.4203013	0.4004559	0.3787575	0.3890386	0.3587786	0.4204322	
American Black Duck	0.058709	0.0342857	0.0425885	0.0378859	0.0488579	0.0254281	0.0184531	0.0512821	0.0566234	0.0472813	0.0521531	0.041115	0.019494	0.0171713	0.0095861	0.0046496	0.0017321	0.0027364	0.00163	0.0031385	0.0013652	0.0024077	0.002765	0.0022355	0.0022099	0.0	0.0065789	0.004902	0.0139303	0.0027624	0.0024979	0.0086602	0.0049787	0.0053232	0.0164502	0.0184502	0.0176871	0.0197817	0.0276596	0.0353808	0.0478645	0.042123	0.0277557	0.0402736	0.0420842	0.0530099	0.0549618	0.0497708	
Mallard x American Black Duck (hybrid)	0.0029192	0.0031169	0.005531	0.0018709	0.0044416	0.0031136	0.0019631	0.0017094	0.0015584	0.0014184	0.0014354	0.0017422	0.0015	0.0	0.0	0.0	2.887E-4	0.0	0.0	3.923E-4	0.0	0.0	0.0	0.0	0.001105	0.0	0.0010965	7.003E-4	0.0	0.0	0.0	0.0	7.112E-4	0.0	0.0	0.0	0.0	0.0	0.0	9.828E-4	0.0014728	0.0	7.93E-4	0.0	0.0	8.985E-4	0.0022901	0.0026195	
