species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Northern Harrier,single-season,winter,0.052649,0.000285,0.0054,48,1,summer,No,overwintering
Bald Eagle,resident,year-round,0.086372,0.008252,0.0955,48,0,,No,seasonal_variation|min_max_near_boundary
Mississippi Kite,vagrant,irregular,0.042741,0.0,0.0,4,1,winter,No,
Broad-winged Hawk,single-season,summer,0.056446,0.0,0.0,29,1,winter,No,
Red-shouldered Hawk,single-season,winter,0.01523,0.000789,0.0518,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Swainson's Hawk,vagrant,irregular,0.000275,0.0,0.0,1,1,winter,No,low_peak_frequency
Red-tailed Hawk,resident,year-round,0.230493,0.082719,0.3589,48,0,,No,seasonal_variation
Rough-legged Hawk,single-season,winter,0.025486,0.0,0.0,26,1,summer,Yes,overwintering
American Barn Owl,vagrant,irregular,0.0015,0.0,0.0,4,1,winter,No,low_peak_frequency
Eastern Screech-Owl,two-passage-migrant,two-passage,0.038758,0.000729,0.0188,48,3,winter|summer|winter,No,three_valley_migrant
Snowy Owl,single-season,winter,0.012956,0.0,0.0,15,1,summer,No,overwintering
Great Horned Owl,resident,year-round,0.033368,0.001814,0.0544,48,0,,No,seasonal_variation|min_max_near_boundary
Barred Owl,single-season,summer,0.014332,0.000476,0.0332,48,1,winter,No,
Long-eared Owl,vagrant,irregular,0.0015,0.0,0.0,18,1,winter,No,low_peak_frequency
Short-eared Owl,single-season,winter,0.024816,0.0,0.0,28,1,summer,Yes,overwintering
Northern Saw-whet Owl,vagrant,irregular,0.003241,0.0,0.0,29,1,winter,Yes,low_peak_frequency
Belted Kingfisher,resident,year-round,0.206384,0.037431,0.1814,48,0,,No,seasonal_variation|min_max_near_boundary
Yellow-bellied Sapsucker,two-passage-migrant,two-passage,0.101292,0.0,0.0,41,2,summer|winter,Yes,classic_bimodal
Red-headed Woodpecker,resident,year-round,0.034856,0.003743,0.1074,48,0,,No,seasonal_variation|min_max_near_boundary
Red-bellied Woodpecker,resident,year-round,0.506257,0.198747,0.3926,48,0,,No,seasonal_variation
Downy Woodpecker,resident,year-round,0.498363,0.247557,0.4967,48,0,,No,seasonal_variation
Hairy Woodpecker,resident,year-round,0.194558,0.067876,0.3489,48,0,,No,seasonal_variation
Pileated Woodpecker,resident,year-round,0.067132,0.022343,0.3328,48,0,,No,seasonal_variation
Northern Flicker,resident,year-round,0.426616,0.071119,0.1667,48,0,,No,seasonal_variation|min_max_near_boundary
American Kestrel,resident,year-round,0.04224,0.006436,0.1524,48,0,,No,seasonal_variation|min_max_near_boundary
Merlin,single-season,winter,0.023067,0.0,0.0,46,1,summer,No,overwintering
Gyrfalcon,vagrant,irregular,0.003916,0.0,0.0,4,1,winter,No,low_peak_frequency
Peregrine Falcon,two-passage-migrant,two-passage,0.008395,0.001659,0.1976,48,2,summer|winter,No,classic_bimodal
Budgerigar,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Olive-sided Flycatcher,two-passage-migrant,two-passage,0.052802,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Eastern Wood-Pewee,single-season,summer,0.387001,0.0,0.0,23,1,winter,No,
